id,name,meal_type,diet_type,cost_vnd,calories,protein_g,carbs_g,fat_g,allergens,ingredients
13,Hủ tiếu Nam Vang,breakfast;lunch,home_cooked,40000,480,22,60,14,seafood,"Hủ tiếu - 200g, Tôm - 40g, Gan heo - 30g, Thịt băm - 40g, Trứng cút - 20g"
14,Miến gà,breakfast;lunch,home_cooked;eat_clean,35000,350,25,40,10,,"Miến dong - 120g, Thịt gà - 80g, Nước dùng gà - 300g, Hành lá - 10g"
15,Mì xào bò,breakfast,home_cooked,30000,450,20,50,15,soy,"Mì gói - 75g, Thịt bò - 80g, Cải ngọt - 80g, Nước tương - 15g"
16,Bánh canh cua,breakfast;lunch,home_cooked,45000,500,25,65,14,seafood,"Bánh canh - 180g, Thịt cua - 50g, Tôm - 40g, Huyết - 40g, Chả cá - 40g"
17,Bò né,breakfast,home_cooked,45000,600,30,45,25,egg,"Thịt bò - 100g, Trứng gà - 60g, Pate - 30g, Xúc xích - 40g, Bánh mì - 70g"
18,Yến mạch ngâm sữa chua,breakfast,eat_clean;vegetarian,25000,250,10,40,5,lactose,"Yến mạch - 50g, Sữa chua không đường - 100g, Trái cây - 50g"
19,Bánh giò,breakfast;snack,home_cooked,15000,300,10,35,12,,"Bột gạo tẻ - 80g, Thịt heo băm - 50g, Mộc nhĩ - 10g, Trứng cút - 20g"
20,Súp cua,breakfast;snack,home_cooked,20000,200,15,20,5,seafood;egg,"Thịt cua - 30g, Ức gà - 40g, Nấm tuyết - 20g, Trứng gà - 30g, Bột năng - 15g"
21,Thịt kho tàu,lunch;dinner,home_cooked,35000,450,20,10,35,egg;seafood,"Thịt ba chỉ - 140g, Trứng vịt - 60g, Nước dừa - 150g, Nước mắm - 15g"
22,Thịt kho tiêu,lunch;dinner,home_cooked,25000,300,22,5,20,seafood,"Thịt nạc heo - 140g, Tiêu đen - 3g, Nước mắm - 15g, Đường - 9g"
23,Sườn xào chua ngọt,lunch;dinner,home_cooked,40000,400,25,15,22,seafood,"Sườn non - 170g, Cà chua - 50g, Hành tây - 40g, Giấm - 15g, Đường - 15g"
24,Cá lóc kho tộ,lunch;dinner,home_cooked,35000,280,24,5,15,seafood,"Cá lóc - 120g, Thịt ba chỉ - 40g, Tiêu - 3g, Nước mắm - 20g, Ớt - 5g"
25,Cá hú kho tộ,lunch;dinner,home_cooked,35000,350,20,5,25,seafood,"Cá hú - 120g, Tiêu - 3g, Nước mắm - 20g, Đường - 10g"
26,Gà kho gừng,lunch;dinner,home_cooked,30000,300,25,5,18,seafood,"Thịt gà - 140g, Gừng - 15g, Nước mắm - 15g, Hành tím - 15g"
27,Gà kho sả ớt,lunch;dinner,home_cooked,30000,320,25,6,20,seafood,"Thịt gà - 140g, Sả - 20g, Ớt - 5g, Nước mắm - 15g, Nghệ - 5g"
28,Đậu hũ nhồi thịt sốt cà,lunch;dinner,home_cooked,25000,280,18,12,16,soy;seafood,"Đậu hũ - 100g, Thịt băm - 60g, Cà chua - 80g, Hành lá - 10g"
29,Trứng chiên thịt băm,lunch;dinner,home_cooked,20000,350,15,2,30,egg;seafood,"Trứng gà - 100g, Thịt heo băm - 50g, Hành lá - 10g, Nước mắm - 10g"
30,Thịt luộc chấm mắm tôm,lunch;dinner,home_cooked,30000,350,22,0,28,seafood,"Thịt ba chỉ - 130g, Mắm tôm - 20g, Chanh - 6g, Ớt - 6g"
31,Tôm rim thịt ba chỉ,lunch;dinner,home_cooked,45000,400,25,8,25,seafood,"Tôm tươi - 80g, Thịt ba chỉ - 100g, Nước mắm - 15g, Tỏi - 10g"
32,Mực xào chua ngọt,lunch;dinner,home_cooked,50000,250,20,15,8,seafood,"Mực tươi - 120g, Thơm - 50g, Cà chua - 50g, Dưa leo - 50g, Cần tây - 30g"
33,Bò lúc lắc,lunch;dinner,home_cooked,60000,450,35,10,25,soy,"Thịt bò - 120g, Hành tây - 50g, Ớt chuông - 60g, Khoai tây chiên - 100g"
34,Gàluộc lá chanh,lunch;dinner,home_cooked;eat_clean,40000,250,28,0,12,,"Thịt gà ta - 150g, Lá chanh - 2g, Muối tiêu - 5g"
35,Vịt quay,lunch;dinner,home_cooked,60000,500,25,5,40,soy,"Thịt vịt - 175g, Ngũ vị hương - 5g, Dầu hào - 15g, Mật ong - 8g"
36,Heo quay,lunch;dinner,home_cooked,50000,550,20,0,50,soy,"Thịt ba chỉ - 200g, Muối - 5g, Ngũ vị hương - 5g"
37,Cá rô phi chiên giòn,lunch;dinner,home_cooked,30000,350,25,0,22,seafood,"Cá rô phi - 150g, Dầu ăn - 20g, Nước mắm ngò - 20g"
38,Cá diêu hồng chưng tương,lunch;dinner,home_cooked,45000,300,28,8,15,soy,"Cá diêu hồng - 150g, Tương hột - 30g, Nấm mèo - 15g, Bún tàu - 30g"
39,Ếch xào lăn,lunch;dinner,home_cooked,50000,350,22,10,20,lactose,"Thịt ếch - 120g, Nước cốt dừa - 40g, Bột cà ri - 10g, Hành tây - 50g"
40,Lươn xào sả ớt,lunch;dinner,home_cooked,50000,320,24,5,18,,"Thịt lươn - 120g, Sả - 20g, Ớt - 5g, Nghệ - 5g"
41,Chả cá sốt càchua,lunch;dinner,home_cooked,30000,300,20,10,18,seafood,"Chả cá thác lác - 100g, Cà chua - 80g, Hành lá - 10g"
42,Bò xào thiên lý,lunch;dinner,home_cooked,45000,300,25,8,15,soy,"Thịt bò - 100g, Hoa thiên lý - 100g, Tỏi - 10g, Dầu hào - 15g"
43,Mắm chưng thịt,lunch;dinner,home_cooked,25000,350,20,5,25,seafood;egg,"Mắm cá lóc - 50g, Thịt ba chỉ băm - 80g, Trứng vịt - 30g, Tiêu - 3g"
44,Ba rọi chiên sả ớt,lunch;dinner,home_cooked,35000,450,18,5,35,seafood,"Thịt ba rọi - 150g, Sả - 20g, Ớt - 5g, Nước mắm - 15g"
45,Cá bống kho tiêu,lunch;dinner,home_cooked,30000,220,20,5,10,seafood,"Cá bống - 100g, Tiêu - 3g, Nước mắm - 15g, Ớt - 5g"
46,Chim cút quay,lunch;dinner,home_cooked,40000,350,25,2,22,soy,"Chim cút - 165g, Ngũ vị hương - 5g, Mật ong - 7g"
47,Lòng non xào dưa cải,lunch;dinner,home_cooked,30000,300,15,8,20,,"Lòng non heo - 100g, Dưa cải chua - 100g, Tỏi - 10g, Cà chua - 50g"
48,Sườn non nướng sả,lunch;dinner,home_cooked,45000,420,26,5,28,seafood;soy,"Sườn non - 200g, Sả - 20g, Nước mắm - 15g, Mật ong - 10g"
49,Nem rán (Chả giò),lunch;dinner,home_cooked,30000,450,15,25,30,egg;seafood,"Thịt băm - 70g, Tôm - 30g, Mộc nhĩ - 10g, Miến - 20g, Bánh tráng - 15g, Trứng - 30g"
50,Chả lá lốt,lunch;dinner,home_cooked,35000,400,20,5,30,seafood,"Thịt bò - 80g, Thịt heo băm - 50g, Lá lốt - 20g, Hành - 10g, Tiêu - 3g"
51,Canh chua cá lóc,lunch;dinner,home_cooked,40000,180,15,20,5,seafood,"Cá lóc - 80g, Bạc hà - 35g, Đậu bắp - 40g, Cà chua - 35g, Giá - 35g, Thơm - 35g"
52,Canh bí xanh thịt băm,lunch;dinner,home_cooked,20000,120,12,10,4,seafood,"Bí đao - 150g, Thịt heo băm - 50g, Hành lá - 10g"
53,Canh mồng tơi cua đồng,lunch;dinner,home_cooked,25000,100,10,8,3,seafood,"Rau mồng tơi - 120g, Cua đồng xay - 50g, Mướp - 100g"
54,Canh bầu tôm tươi,lunch;dinner,home_cooked,30000,110,12,8,2,seafood,"Bầu - 150g, Tôm tươi - 40g, Hành lá - 10g"
55,Canh khổ qua nhồi thịt,lunch;dinner,home_cooked,35000,200,15,10,10,seafood,"Khổ qua - 200g, Thịt băm - 60g, Nấm mèo - 10g, Hành lá - 10g"
56,Canh cải ngọt thịt băm,lunch;dinner,home_cooked,20000,110,10,8,4,seafood,"Cải ngọt - 130g, Thịt băm - 40g, Gừng - 5g"
57,Canh hẹ đậu hũ tôm,lunch;dinner,home_cooked,25000,130,14,6,4,soy;seafood,"Lá hẹ - 50g, Đậu hũ non - 60g, Tôm tươi - 30g"
58,Canh khoai mỡ tôm băm,lunch;dinner,home_cooked,25000,160,10,20,3,seafood,"Khoai mỡ - 120g, Tôm băm - 30g, Ngò om - 10g"
59,Canh rau ngót thịt băm,lunch;dinner,home_cooked,20000,120,12,8,4,seafood,"Rau ngót - 80g, Thịt băm - 50g, Hành - 10g"
60,Canh chua tôm,lunch;dinner,home_cooked,40000,160,14,18,4,seafood,"Tôm tươi - 70g, Bạc hà - 100g, Cà chua - 100g, Me - 15g, Giá - 100g"
61,Rau muống xào tỏi,lunch;dinner,home_cooked;vegetarian,15000,120,3,8,8,,"Rau muống - 150g, Tỏi - 15g, Dầu ăn - 15g"
62,Cải thìa xào nấm đông cô,lunch;dinner,home_cooked;vegetarian;eat_clean,25000,100,4,12,5,soy,"Cải thìa - 125g, Nấm đông cô - 125g, Dầu hào xì dầu - 20g"
63,Đậu cô ve xào thịt băm,lunch;dinner,home_cooked,25000,180,12,10,10,seafood,"Đậu cô ve - 120g, Thịt heo băm - 40g, Tỏi - 10g, Nước mắm - 15g"
64,Su su xào tỏi,lunch;dinner,home_cooked;vegetarian,15000,110,2,12,6,,"Su su - 150g, Tỏi - 15g, Dầu ăn - 15g"
65,Mướp xào giá đỗ,lunch;dinner,home_cooked;vegetarian,15000,90,3,10,4,,"Mướp - 100g, Giá đỗ - 100g, Hành lá - 10g"
66,Bắp cải luộc chấm kho quẹt,lunch;dinner,home_cooked,25000,150,5,10,10,seafood,"Bắp cải - 150g, Thịt mỡ - 25g, Tôm khô - 15g, Nước mắm - 10g"
67,Đậu rồng xào tỏi,lunch;dinner,home_cooked;vegetarian,15000,110,3,9,6,,"Đậu rồng - 120g, Tỏi - 15g, Dầu ăn - 15g"
68,Gỏi ngó sen tôm thịt,lunch;dinner,home_cooked,45000,220,15,20,8,seafood;peanut,"Ngó sen - 120g, Tôm - 60g, Thịt luộc - 60g, Chanh - 20g, Nước mắm - 20g, Đậu phộng - 15g"
69,Salad dầu giấm,lunch;dinner,home_cooked;vegetarian;eat_clean,20000,80,2,10,4,,"Xà lách - 50g, Cà chua - 50g, Dưa leo - 50g, Giấm - 15g, Dầu ô liu - 10g"
70,Rau lang luộc,lunch;dinner,home_cooked;vegetarian;eat_clean,10000,40,3,7,0,,Rau lang - 100g
71,Đậu hũ sốt càchua chay,lunch;dinner,vegetarian;eat_clean,15000,180,14,10,10,soy,"Đậu hũ - 120g, Cà chua - 80g, Hành ba rô - 15g, Nước tương - 15g"
72,Nấm đùi gàkho tiêu,lunch;dinner,vegetarian;eat_clean,25000,150,8,18,5,soy,"Nấm đùi gà - 150g, Tiêu - 5g, Nước tương - 15g, Dầu hào chay - 20g"
73,Canh rong biển đậu hũ,lunch;dinner,vegetarian;eat_clean,20000,100,10,8,3,soy,"Rong biển wakame - 15g, Đậu hũ non - 80g, Gừng - 5g"
74,Bò lát chay xào sả ớt,lunch;dinner,vegetarian,30000,220,15,25,8,soy,"Bò lát chay (đậu nành) - 60g, Sả - 20g, Ớt - 10g, Gia vị - 10g"
75,Gà xé phay chay,lunch;dinner,vegetarian,25000,190,12,20,7,soy,"Phù trúc - 120g, Rau răm - 15g, Chanh - 15g, Ớt - 5g"
76,Canh chua chay,lunch;dinner,vegetarian,20000,120,5,20,2,soy,"Đậu hũ - 80g, Bạc hà - 75g, Cà chua - 75g, Me - 15g, Giá - 75g"
77,Mít non kho chay,lunch;dinner,vegetarian,20000,160,4,25,5,soy,"Mít non luộc - 120g, Nước tương - 15g, Tiêu - 3g, Tỏi - 10g"
78,Chả giò chay,lunch;dinner,vegetarian,25000,300,8,35,15,soy,"Đậu xanh - 50g, Khoai môn - 80g, Mộc nhĩ - 10g, Bánh tráng - 20g"
79,Bún xào chay,breakfast;lunch,vegetarian,20000,320,10,55,8,soy,"Bún gạo - 80g, Cải ngọt - 80g, Cà rốt - 50g, Nấm - 50g, Đậu hũ - 50g"
80,Cà tím nướng mỡ hành chay,lunch;dinner,vegetarian;eat_clean,15000,140,3,15,8,soy,"Cà tím - 150g, Hành ba rô - 20g, Dầu ăn - 15g, Nước tương - 15g"
81,Ức gà áp chảo,lunch;dinner,eat_clean,35000,250,35,2,10,,"Ức gà - 150g, Tiêu đen - 3g, Muối - 2g, Dầu ô liu - 10g"
82,Salad ức gà,lunch;dinner,eat_clean,40000,220,30,10,8,,"Ức gà - 80g, Xà lách - 100g, Cà chua bi - 50g, Xốt mè rang - 25g"
83,Cá hồi áp chảo măng tây,lunch;dinner,eat_clean,80000,350,30,8,20,seafood,"Cá hồi phi lê - 120g, Măng tây - 80g, Bơ tỏi - 15g"
84,Khoai lang luộc,breakfast;snack,eat_clean;vegetarian,10000,110,2,25,0,,Khoai lang - 100g
85,Trứng gà luộc,breakfast;snack,eat_clean;vegetarian,8000,70,6,1,5,egg,Trứng gà - 50g
86,Tôm hấp gừng,lunch;dinner,eat_clean,45000,150,25,2,2,seafood,"Tôm tươi - 150g, Gừng - 15g, Sả - 15g"
87,Bò nhúng dấm cuốn bánh tráng,lunch;dinner,eat_clean,70000,400,30,40,10,,"Bò nhúng dấm cuốn bánh tráng - 100g, Giấm - 30g, Rau sống - 80g, Bánh tráng - 30g"
88,Thịt thăn heo áp chảo,lunch;dinner,eat_clean,35000,220,28,0,10,,"Thịt thăn heo - 140g, Tiêu - 3g, Muối - 2g"
89,Sữa chua không đường,snack,eat_clean;vegetarian,10000,60,5,5,2,lactose,Sữa chua - 100g
90,Chuối sứ luộc,snack,eat_clean;vegetarian,8000,90,1,23,0,,Chuối sứ - 80g
91,Trái cây tô,snack,eat_clean;vegetarian,25000,150,2,35,1,lactose,"Đu đủ - 40g, Dưa hấu - 40g, Mít - 30g, Bơ - 40g, Sữa chua - 50g"
92,Sinh tố bơ,snack,home_cooked;vegetarian,30000,320,4,25,22,lactose,"Quả bơ - 100g, Sữa đặc - 30g, Sữa tươi - 100g, Đá - 50g"
93,Chè đậu đen,snack,home_cooked;vegetarian,15000,250,8,50,2,,"Đậu đen - 40g, Đường - 30g, Nước cốt dừa - 30g"
94,Chè chuối chưng,snack,home_cooked;vegetarian,15000,280,3,45,8,,"Chuối - 100g, Bột báng - 20g, Nước cốt dừa - 50g, Đường - 30g"
95,Bánh flan,snack,home_cooked;vegetarian,10000,150,5,18,6,egg;lactose,"Trứng gà - 50g, Sữa tươi - 80g, Đường - 12g, Caramel - 15g"
96,Hạt điều rang muối,snack,eat_clean;vegetarian,20000,170,5,8,14,peanut,"Hạt điều - 30g, Muối - 2g"
97,Ngô luộc,snack,eat_clean;vegetarian,10000,120,4,25,1,,Bắp ngọt - 120g
98,Sữa hạt sen,snack,eat_clean;vegetarian,15000,130,4,22,3,,"Hạt sen - 50g, Đường phèn - 15g, Lá dứa - 10g"
