id,name,meal_type,diet_type,cost_vnd,calories,protein_g,carbs_g,fat_g,allergens,ingredients
18,Yến mạch ngâm sữa chua,breakfast,eat_clean;vegetarian,25000,250,10,40,5,lactose,"Yến mạch, sữa chua không đường, trái cây"
19,Bánh giò,breakfast;snack,home_cooked,15000,300,10,35,12,,"Bột gạo tẻ, thịt heo băm, mộc nhĩ, trứng cút"
20,Súp cua,breakfast;snack,home_cooked,20000,200,15,20,5,seafood;egg,"Thịt cua, ức gà, nấm tuyết, trứng gà, bột năng"
21,Thịt kho tàu,lunch;dinner,home_cooked,35000,450,20,10,35,egg;seafood,"Thịt ba chỉ, trứng vịt, nước dừa, nước mắm"
22,Thịt kho tiêu,lunch;dinner,home_cooked,25000,300,22,5,20,seafood,"Thịt nạc heo, tiêu đen, nước mắm, đường"
23,Sườn xào chua ngọt,lunch;dinner,home_cooked,40000,400,25,15,22,seafood,"Sườn non, cà chua, hành tây, giấm, đường"
24,Cá lóc kho tộ,lunch;dinner,home_cooked,35000,280,24,5,15,seafood,"Cá lóc, thịt ba chỉ, tiêu, nước mắm, ớt"
25,Cá hú kho tộ,lunch;dinner,home_cooked,35000,350,20,5,25,seafood,"Cá hú, tiêu, nước mắm, đường"
26,Gà kho gừng,lunch;dinner,home_cooked,30000,300,25,5,18,seafood,"Thịt gà, gừng, nước mắm, hành tím"
27,Gà kho sả ớt,lunch;dinner,home_cooked,30000,320,25,6,20,seafood,"Thịt gà, sả, ớt, nước mắm, nghệ"
28,Đậu hũ nhồi thịt sốt cà,lunch;dinner,home_cooked,25000,280,18,12,16,soy;seafood,"Đậu hũ, thịt băm, cà chua, hành lá"
29,Trứng chiên thịt băm,lunch;dinner,home_cooked,20000,350,15,2,30,egg;seafood,"Trứng gà, thịt heo băm, hành lá, nước mắm"
30,Thịt luộc chấm mắm tôm,lunch;dinner,home_cooked,30000,350,22,0,28,seafood,"Thịt ba chỉ, mắm tôm, chanh, ớt"
31,Tôm rim thịt ba chỉ,lunch;dinner,home_cooked,45000,400,25,8,25,seafood,"Tôm tươi, thịt ba chỉ, nước mắm, tỏi"
32,Mực xào chua ngọt,lunch;dinner,home_cooked,50000,250,20,15,8,seafood,"Mực tươi, thơm, cà chua, dưa leo, cần tây"
33,Bò lúc lắc,lunch;dinner,home_cooked,60000,450,35,10,25,soy,"Thịt bò, hành tây, ớt chuông, khoai tây chiên"
34,Gà luộc lá chanh,lunch;dinner,home_cooked;eat_clean,40000,250,28,0,12,,"Thịt gà ta, lá chanh, muối tiêu"
35,Vịt quay,lunch;dinner,home_cooked,60000,500,25,5,40,soy,"Thịt vịt, ngũ vị hương, dầu hào, mật ong"
36,Heo quay,lunch;dinner,home_cooked,50000,550,20,0,50,soy,"Thịt ba chỉ, muối, ngũ vị hương"
37,Cá rô phi chiên giòn,lunch;dinner,home_cooked,30000,350,25,0,22,seafood,"Cá rô phi, dầu ăn, nước mắm ngò"
38,Cá diêu hồng chưng tương,lunch;dinner,home_cooked,45000,300,28,8,15,soy,"Cá diêu hồng, tương hột, nấm mèo, bún tàu"
39,Ếch xào lăn,lunch;dinner,home_cooked,50000,350,22,10,20,lactose,"Thịt ếch, nước cốt dừa, bột cà ri, hành tây"
40,Lươn xào sả ớt,lunch;dinner,home_cooked,50000,320,24,5,18,,"Thịt lươn, sả, ớt, nghệ"
41,Chả cá sốt cà chua,lunch;dinner,home_cooked,30000,300,20,10,18,seafood,"Chả cá thác lác, cà chua, hành lá"
42,Bò xào thiên lý,lunch;dinner,home_cooked,45000,300,25,8,15,soy,"Thịt bò, hoa thiên lý, tỏi, dầu hào"
43,Mắm chưng thịt,lunch;dinner,home_cooked,25000,350,20,5,25,seafood;egg,"Mắm cá lóc, thịt ba chỉ băm, trứng vịt, tiêu"
44,Ba rọi chiên sả ớt,lunch;dinner,home_cooked,35000,450,18,5,35,seafood,"Thịt ba rọi, sả, ớt, nước mắm"
45,Cá bống kho tiêu,lunch;dinner,home_cooked,30000,220,20,5,10,seafood,"Cá bống, tiêu, nước mắm, ớt"
46,Chim cút quay,lunch;dinner,home_cooked,40000,350,25,2,22,soy,"Chim cút, ngũ vị hương, mật ong"
47,Lòng non xào dưa cải,lunch;dinner,home_cooked,30000,300,15,8,20,,"Lòng non heo, dưa cải chua, tỏi, cà chua"
48,Sườn nướng sả,lunch;dinner,home_cooked,45000,420,26,5,28,seafood;soy,"Sườn non, sả, nước mắm, mật ong"
49,Nem rán (Chả giò),lunch;dinner,home_cooked,30000,450,15,25,30,egg;seafood,"Thịt băm, tôm, mộc nhĩ, miến, bánh tráng, trứng"
50,Chả lá lốt,lunch;dinner,home_cooked,35000,400,20,5,30,seafood,"Thịt bò, băm, lá lốt, hành, tiêu"
51,Canh chua cá lóc,lunch;dinner,home_cooked,40000,180,15,20,5,seafood,"Cá lóc, bạc hà, đậu bắp, cà chua, giá, thơm"
52,Canh bí xanh thịt băm,lunch;dinner,home_cooked,20000,120,12,10,4,seafood,"Bí đao, thịt heo băm, hành lá"
53,Canh mồng tơi cua đồng,lunch;dinner,home_cooked,25000,100,10,8,3,seafood,"Rau mồng tơi, cua đồng xay, mướp"
54,Canh bầu tôm tươi,lunch;dinner,home_cooked,30000,110,12,8,2,seafood,"Bầu, tôm tươi, hành lá"
55,Canh khổ qua nhồi thịt,lunch;dinner,home_cooked,35000,200,15,10,10,seafood,"Khổ qua, thịt băm, nấm mèo, hành lá"
56,Canh cải ngọt thịt băm,lunch;dinner,home_cooked,20000,110,10,8,4,seafood,"Cải ngọt, thịt băm, gừng"
57,Canh hẹ đậu hũ tôm,lunch;dinner,home_cooked,25000,130,14,6,4,soy;seafood,"Lá hẹ, đậu hũ non, tôm tươi"
58,Canh khoai mỡ tôm băm,lunch;dinner,home_cooked,25000,160,10,20,3,seafood,"Khoai mỡ, tôm băm, ngò om"
59,Canh rau ngót thịt băm,lunch;dinner,home_cooked,20000,120,12,8,4,seafood,"Rau ngót, thịt băm, hành"
60,Canh chua tôm,lunch;dinner,home_cooked,40000,160,14,18,4,seafood,"Tôm tươi, bạc hà, cà chua, me, giá"
61,Rau muống xào tỏi,lunch;dinner,home_cooked;vegetarian,15000,120,3,8,8,,"Rau muống, tỏi, dầu ăn"
62,Cải thìa xào nấm đông cô,lunch;dinner,home_cooked;vegetarian;eat_clean,25000,100,4,12,5,soy,"Cải thìa, nấm đông cô, dầu hào xì dầu"
63,Đậu cô ve xào thịt băm,lunch;dinner,home_cooked,25000,180,12,10,10,seafood,"Đậu cô ve, thịt heo băm, tỏi, nước mắm"
64,Su su xào tỏi,lunch;dinner,home_cooked;vegetarian,15000,110,2,12,6,,"Su su, tỏi, dầu ăn"
65,Mướp xào giá đỗ,lunch;dinner,home_cooked;vegetarian,15000,90,3,10,4,,"Mướp, giá đỗ, hành lá"
66,Bắp cải luộc chấm kho quẹt,lunch;dinner,home_cooked,25000,150,5,10,10,seafood,"Bắp cải, thịt mỡ, tôm khô, nước mắm"
67,Đậu rồng xào tỏi,lunch;dinner,home_cooked;vegetarian,15000,110,3,9,6,,"Đậu rồng, tỏi, dầu ăn"
68,Gỏi ngó sen tôm thịt,lunch;dinner,home_cooked,45000,220,15,20,8,seafood;peanut,"Ngó sen, tôm, thịt luộc, chanh, nước mắm, đậu phộng"
69,Salad dầu giấm,lunch;dinner,home_cooked;vegetarian;eat_clean,20000,80,2,10,4,,"Xà lách, cà chua, dưa leo, giấm, dầu ô liu"
70,Rau lang luộc,lunch;dinner,home_cooked;vegetarian;eat_clean,10000,40,3,7,0,,Rau lang
71,Đậu hũ sốt cà chua chay,lunch;dinner,vegetarian;eat_clean,15000,180,14,10,10,soy,"Đậu hũ, cà chua, hành ba rô, nước tương"
72,Nấm đùi gà kho tiêu,lunch;dinner,vegetarian;eat_clean,25000,150,8,18,5,soy,"Nấm đùi gà, tiêu, nước tương, dầu hào chay"
73,Canh rong biển đậu hũ,lunch;dinner,vegetarian;eat_clean,20000,100,10,8,3,soy,"Rong biển wakame, đậu hũ non, gừng"
74,Bò lát chay xào sả ớt,lunch;dinner,vegetarian,30000,220,15,25,8,soy,"Bò lát chay (đậu nành), sả, ớt, gia vị"
75,Gà xé phay chay,lunch;dinner,vegetarian,25000,190,12,20,7,soy,"Phù trúc, rau răm, chanh, ớt"
76,Canh chua chay,lunch;dinner,vegetarian,20000,120,5,20,2,soy,"Đậu hũ, bạc hà, cà chua, me, giá"
77,Mít non kho chay,lunch;dinner,vegetarian,20000,160,4,25,5,soy,"Mít non luộc, nước tương, tiêu, tỏi"
78,Chả giò chay,lunch;dinner,vegetarian,25000,300,8,35,15,soy,"Đậu xanh, khoai môn, mộc nhĩ, bánh tráng"
79,Bún xào chay,breakfast;lunch,vegetarian,20000,320,10,55,8,soy,"Bún gạo, cải ngọt, cà rốt, nấm, đậu hũ"
80,Cà tím nướng mỡ hành chay,lunch;dinner,vegetarian;eat_clean,15000,140,3,15,8,soy,"Cà tím, hành ba rô, dầu ăn, nước tương"
81,Ức gà áp chảo,lunch;dinner,eat_clean,35000,250,35,2,10,,"Ức gà, tiêu đen, muối, dầu ô liu"
82,Salad ức gà,lunch;dinner,eat_clean,40000,220,30,10,8,,"Ức gà, xà lách, cà chua bi, xốt mè rang"
83,Cá hồi áp chảo măng tây,lunch;dinner,eat_clean,80000,350,30,8,20,seafood,"Cá hồi phi lê, măng tây, bơ tỏi"
84,Khoai lang luộc,breakfast;snack,eat_clean;vegetarian,10000,110,2,25,0,,Khoai lang
85,Trứng gà luộc,breakfast;snack,eat_clean;vegetarian,8000,70,6,1,5,egg,Trứng gà
86,Cơm gạo lứt,lunch;dinner,eat_clean;vegetarian,10000,180,5,38,1,,Gạo lứt đỏ
87,Cơm trắng,lunch;dinner,home_cooked,5000,200,4,45,0,,Gạo trắng
88,Tôm hấp gừng,lunch;dinner,eat_clean,45000,150,25,2,2,seafood,"Tôm tươi, gừng, sả"
89,Bò nhúng dấm cuốn bánh tráng,lunch;dinner,eat_clean,70000,400,30,40,10,,"Thịt bò phi lê, giấm, rau sống, bánh tráng"
90,Thịt thăn heo áp chảo,lunch;dinner,eat_clean,35000,220,28,0,10,,"Thịt thăn heo, tiêu, muối"
91,Sữa chua không đường,snack,eat_clean;vegetarian,10000,60,5,5,2,lactose,Sữa chua
92,Chuối sứ luộc,snack,eat_clean;vegetarian,8000,90,1,23,0,,Chuối sứ
93,Trái cây tô,snack,eat_clean;vegetarian,25000,150,2,35,1,lactose,"Đu đủ, dưa hấu, mít, bơ, sữa chua"
94,Sinh tố bơ,snack,home_cooked;vegetarian,30000,320,4,25,22,lactose,"Quả bơ, sữa đặc, sữa tươi, đá"
95,Chè đậu đen,snack,home_cooked;vegetarian,15000,250,8,50,2,,"Đậu đen, đường, nước cốt dừa"
96,Chè chuối chưng,snack,home_cooked;vegetarian,15000,280,3,45,8,,"Chuối, bột báng, nước cốt dừa, đường"
97,Bánh flan,snack,home_cooked;vegetarian,10000,150,5,18,6,egg;lactose,"Trứng gà, sữa tươi, đường, caramel"
98,Hạt điều rang muối,snack,eat_clean;vegetarian,20000,170,5,8,14,peanut,"Hạt điều, muối"
99,Ngô luộc,snack,eat_clean;vegetarian,10000,120,4,25,1,,Bắp ngọt
100,Sữa hạt sen,snack,eat_clean;vegetarian,15000,130,4,22,3,,"Hạt sen, đường phèn, lá dứa"
